task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260505_231400,BUY,2026-05-05 23:14:00+00:00,2026-05-05 23:16:00+00:00,2026-05-06 05:56:00+00:00,4587.12,4565.92,4656.88,4656.88,TP,0.11,767.3600000000024,0.0,-0.0,233.199999999998,3.2905660377358874,51963.32234499999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260507_014800,BUY,2026-05-07 01:48:00+00:00,2026-05-07 01:50:00+00:00,2026-05-10 22:03:00+00:00,4719.15,4680.36,4835.72,4680.36,SL,0.06,-239.8300199999998,-7.090020000000001,-0.0,232.73999999999978,-1.0304632637277649,51723.49232499999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260511_224600,BUY,2026-05-11 22:46:00+00:00,2026-05-11 22:48:00+00:00,2026-05-12 03:56:00+00:00,4754.0,4718.57,4864.17,4718.57,SL,0.07,-248.01000000000207,0.0,-0.0,248.01000000000207,-1.0,51475.48232499999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260512_191200,BUY,2026-05-12 19:12:00+00:00,2026-05-12 19:14:00+00:00,2026-05-13 13:36:00+00:00,4701.51,4676.08,4779.8,4676.08,SL,0.09,-234.18751500000263,-5.317515000000001,-0.0,228.87000000000262,-1.0232337790011794,51241.294809999985,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260513_152900,BUY,2026-05-13 15:29:00+00:00,2026-05-13 15:30:00+00:00,2026-05-14 04:00:00+00:00,4691.35,4669.56,4756.68,4669.56,SL,0.11,-259.1875549999996,-19.497555,-0.0,239.6899999999996,-1.0813448829738412,50982.10725499999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260515_145600,BUY,2026-05-15 14:56:00+00:00,2026-05-15 14:58:00+00:00,2026-05-18 00:33:00+00:00,4566.39,4511.46,4719.5,4511.46,SL,0.04,-222.08334000000116,-2.36334,-0.0,219.72000000000116,-1.0107561441835062,50760.02391499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260518_231300,BUY,2026-05-18 23:13:00+00:00,2026-05-18 23:14:00+00:00,2026-05-19 01:21:00+00:00,4586.53,4555.02,4679.38,4555.02,SL,0.08,-252.07999999999447,0.0,-0.0,252.07999999999447,-1.0,50507.94391499999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260520_143000,BUY,2026-05-20 14:30:00+00:00,2026-05-20 14:32:00+00:00,2026-05-27 10:39:00+00:00,4522.01,4467.08,4683.08,4467.08,SL,0.04,-236.26338000000118,-16.543380000000003,-0.0,219.72000000000116,-1.0752930092845436,50271.680534999985,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260527_182000,BUY,2026-05-27 18:20:00+00:00,2026-05-27 18:22:00+00:00,2026-05-28 02:02:00+00:00,4456.2699999999995,4404.315,4613.055,4404.315,SL,0.04,-214.91001999999972,-7.09002,-0.0,207.8199999999997,-1.034116158213839,50056.77051499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260528_144500,BUY,2026-05-28 14:45:00+00:00,2026-05-28 14:46:00+00:00,2026-06-05 12:54:00+00:00,4476.47,4418.26,4650.42,4418.26,SL,0.04,-251.74672000000015,-18.90672,-0.0,232.84000000000015,-1.0812004810170073,49805.02379499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260611_155100,BUY,2026-06-11 15:51:00+00:00,2026-06-11 15:52:00+00:00,2026-06-11 19:36:00+00:00,4093.62,4052.94,4216.18,4216.18,TP,0.06,735.3600000000024,0.0,-0.0,244.07999999999902,3.0127826941986453,50540.38379499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260612_151000,BUY,2026-06-12 15:10:00+00:00,2026-06-12 15:12:00+00:00,2026-06-14 22:07:00+00:00,4210.34,4182.71,4305.19,4305.19,TP,0.08,754.0733199999956,-4.72668,-0.0,221.04000000000087,3.411479008324252,51294.457114999976,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260616_155700,BUY,2026-06-16 15:57:00+00:00,2026-06-16 15:58:00+00:00,2026-06-17 04:34:00+00:00,4343.0,4317.64,4418.76,4317.64,SL,0.1,-259.5083499999967,-5.90835,-0.0,253.59999999999673,-1.0232979100946376,51034.94876499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260617_143200,BUY,2026-06-17 14:32:00+00:00,2026-06-17 14:34:00+00:00,2026-06-17 14:47:00+00:00,4360.5,4332.65,4451.97,4332.65,SL,0.08,-222.8000000000029,0.0,-0.0,222.8000000000029,-1.0,50812.148764999976,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260625_152200,BUY,2026-06-25 15:22:00+00:00,2026-06-25 15:24:00+00:00,2026-06-26 02:37:00+00:00,4032.43,3999.14,4137.94,3999.14,SL,0.07,-237.16584499999976,-4.135845000000001,-0.0,233.02999999999977,-1.017748122559327,50574.98291999997,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260626_154100,BUY,2026-06-26 15:41:00+00:00,2026-06-26 15:42:00+00:00,2026-06-29 05:30:00+00:00,4094.69,4045.05,4243.61,4045.05,SL,0.05,-251.15417499999936,-2.954175,-0.0,248.19999999999936,-1.0119023972602739,50323.82874499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260701_143400,BUY,2026-07-01 14:34:00+00:00,2026-07-01 14:36:00+00:00,2026-07-01 19:52:00+00:00,4112.95,4041.7,4320.1,4041.7,SL,0.03,-213.75,0.0,-0.0,213.75,-1.0,50110.07874499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260703_005100,BUY,2026-07-03 00:51:00+00:00,2026-07-03 00:52:00+00:00,2026-07-07 19:07:00+00:00,4147.63,4110.15,4259.67,4110.15,SL,0.06,-231.97002000000285,-7.090020000000001,-0.0,224.88000000000284,-1.0315280149413018,49878.10872499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260708_184500,BUY,2026-07-08 18:45:00+00:00,2026-07-08 18:46:00+00:00,2026-07-13 04:15:00+00:00,4080.58,4051.55,4167.67,4051.55,SL,0.08,-255.87339999999796,-23.6334,-0.0,232.23999999999796,-1.1017628315535661,49622.23532499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260714_150400,BUY,2026-07-14 15:04:00+00:00,2026-07-14 15:06:00+00:00,2026-07-14 15:42:00+00:00,4088.16,4070.77,4142.57,4070.77,SL,0.13,-226.06999999999834,0.0,-0.0,226.06999999999834,-1.0,49396.16532499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260715_180300,BUY,2026-07-15 18:03:00+00:00,2026-07-15 18:04:00+00:00,2026-07-15 19:20:00+00:00,4068.39,4055.05,4108.25,4055.05,SL,0.18,-240.11999999999443,0.0,-0.0,240.11999999999443,-1.0,49156.045324999985,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260716_152500,BUY,2026-07-16 15:25:00+00:00,2026-07-16 15:26:00+00:00,2026-07-16 17:36:00+00:00,4015.9,3981.86,4117.98,3981.86,SL,0.07,-238.27999999999977,0.0,-0.0,238.27999999999977,-1.0,48917.765324999986,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260717_150400,BUY,2026-07-17 15:04:00+00:00,2026-07-17 15:06:00+00:00,2026-07-22 14:01:00+00:00,4012.3,3963.74,4158.78,4158.78,TP,0.05,723.5374749999978,-8.862525000000002,-0.0,242.800000000002,2.9799731260296203,49641.30279999998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260722_154900,BUY,2026-07-22 15:49:00+00:00,2026-07-22 15:50:00+00:00,2026-07-22 19:21:00+00:00,4164.61,4131.92,4262.36,4131.92,SL,0.07,-228.82999999999723,0.0,-0.0,228.82999999999723,-1.0,49412.47279999999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260724_151000,BUY,2026-07-24 15:10:00+00:00,2026-07-24 15:12:00+00:00,2026-07-28 01:34:00+00:00,4069.34,4044.79,4148.51,4044.79,SL,0.09,-231.58503000000164,-10.635030000000002,-0.0,220.95000000000164,-1.0481331975560078,49180.88776999999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260728_151400,BUY,2026-07-28 15:14:00+00:00,2026-07-28 15:16:00+00:00,2026-07-29 01:04:00+00:00,4034.39,4011.47,4100.55,4011.47,SL,0.11,-258.6191850000008,-6.499185,-0.0,252.1200000000008,-1.0257781413612566,48922.26858499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260729_165000,BUY,2026-07-29 16:50:00+00:00,2026-07-29 16:52:00+00:00,2026-07-29 18:46:00+00:00,4020.21,3996.02,4089.46,4089.46,TP,0.1,692.5,0.0,-0.0,241.90000000000055,2.862753203803218,49614.76858499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260731_144900,BUY,2026-07-31 14:49:00+00:00,2026-07-31 14:50:00+00:00,2026-08-03 13:38:00+00:00,4044.11,4020.93,4113.49,4020.93,SL,0.1,-237.70835000000292,-5.90835,-0.0,231.8000000000029,-1.025488999137187,49377.06023499998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260803_144100,BUY,2026-08-03 14:41:00+00:00,2026-08-03 14:42:00+00:00,2026-08-04 13:41:00+00:00,4037.16,4019.11,4091.39,4091.39,TP,0.13,697.3091450000003,-7.680855000000001,-0.0,234.64999999999645,2.9716988919668053,50074.36937999998,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260804_170000,BUY,2026-08-04 17:00:00+00:00,2026-08-04 17:02:00+00:00,2026-08-04 18:45:00+00:00,4096.44,4076.11,4155.71,4076.11,SL,0.12,-243.95999999999367,0.0,-0.0,243.95999999999367,-1.0,49830.40937999999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260805_144300,BUY,2026-08-05 14:43:00+00:00,2026-08-05 14:44:00+00:00,2026-08-10 22:46:00+00:00,4241.67,4189.66,4397.78,4397.78,TP,0.04,610.2599599999987,-14.180040000000002,-0.0,208.04000000000087,2.9333780042299376,50440.669339999986,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260812_024200,BUY,2026-08-12 02:42:00+00:00,2026-08-12 02:44:00+00:00,2026-08-13 05:59:00+00:00,4405.93,4381.26,4482.34,4381.26,SL,0.09,-237.98254500000067,-15.952545000000004,-0.0,222.03000000000065,-1.0718486015403323,50202.68679499999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260818_002300,BUY,2026-08-18 00:23:00+00:00,2026-08-18 00:24:00+00:00,2026-08-18 13:30:00+00:00,4430.64,4384.73,4567.73,4384.73,SL,0.05,-229.55000000000382,0.0,-0.0,229.55000000000382,-1.0,49973.136794999984,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260819_143000,BUY,2026-08-19 14:30:00+00:00,2026-08-19 14:32:00+00:00,2026-08-21 16:48:00+00:00,4490.53,4442.41,4624.93,4624.93,TP,0.05,660.1833000000028,-11.8167,-0.0,240.59999999999945,2.7439039900249553,50633.32009499999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260824_235000,BUY,2026-08-24 23:50:00+00:00,2026-08-24 23:52:00+00:00,2026-08-25 02:02:00+00:00,4678.639999999999,4655.55,4759.59,4655.55,SL,0.09,-207.80999999999312,0.0,-0.0,207.80999999999312,-1.0,50425.510095,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260825_143200,BUY,2026-08-25 14:32:00+00:00,2026-08-25 14:34:00+00:00,2026-08-26 13:16:00+00:00,4630.34,4605.36,4697.92,4605.36,SL,0.1,-255.70835000000474,-5.90835,-0.0,249.80000000000473,-1.0236523218574856,50169.80174499999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260827_015400,BUY,2026-08-27 01:54:00+00:00,2026-08-27 01:56:00+00:00,2026-08-27 05:32:00+00:00,4636.57,4610.34,4708.58,4610.34,SL,0.1,-262.29999999999563,0.0,-0.0,262.29999999999563,-1.0,49907.501744999994,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260827_144300,BUY,2026-08-27 14:43:00+00:00,2026-08-27 14:44:00+00:00,2026-08-28 14:05:00+00:00,4595.16,4564.58,4686.82,4564.58,SL,0.08,-249.3666799999994,-4.72668,-0.0,244.63999999999942,-1.0193209614126881,49658.135064999995,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260831_194900,BUY,2026-08-31 19:49:00+00:00,2026-08-31 19:50:00+00:00,2026-09-01 07:39:00+00:00,4448.9,4415.73,4547.65,4415.73,SL,0.07,-236.32584500000053,-4.135845000000001,-0.0,232.19000000000054,-1.0178123304190532,49421.809219999996,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260903_010700,BUY,2026-09-03 01:07:00+00:00,2026-09-03 01:08:00+00:00,2026-09-08 19:59:00+00:00,4398.71,4357.05,4523.65,4357.05,SL,0.05,-217.16252499999928,-8.862525000000002,-0.0,208.29999999999927,-1.0425469275084016,49204.646694999996,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260914_150600,BUY,2026-09-14 15:06:00+00:00,2026-09-14 15:08:00+00:00,2026-09-15 08:10:00+00:00,4283.76,4264.08,4348.32,4264.08,SL,0.11,-222.9791850000032,-6.499185,-0.0,216.4800000000032,-1.0300221036585362,48981.66750999999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260915_181200,BUY,2026-09-15 18:12:00+00:00,2026-09-15 18:14:00+00:00,2026-09-15 23:28:00+00:00,4303.44,4282.69,4362.29,4282.69,SL,0.12,-256.09002,-7.090020000000001,-0.0,249.0,-1.0284739759036143,48725.57748999999,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260916_145900,BUY,2026-09-16 14:59:00+00:00,2026-09-16 15:00:00+00:00,2026-09-16 18:01:00+00:00,4355.15,4324.21,4447.77,4324.21,SL,0.07,-216.57999999999723,0.0,-0.0,216.57999999999723,-1.0,48508.997489999994,False,False
OrbBreakout_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260918_162100,BUY,2026-09-18 16:21:00+00:00,2026-09-18 16:22:00+00:00,2026-09-18 20:57:00+00:00,4368.98,4343.03,4446.87,4378.07,OPEN,0.09,81.81000000000131,0.0,-0.0,233.54999999999836,0.3502890173410485,48590.80748999999,False,False
